n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*11*_*_*_;Sathonay-Camp Place du marché - Boulevard Castellane;Face au 35 Boulevard Castellane, Sathonay-Camp;69292;4.872508;45.822366;4;FR*GLY*E*LYON*11*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*14*_*_*_;Sathonay-Village Mairie;Parking de la Mairie, Sathonay-Village;69293;4.878329;45.832194;4;FR*GLY*E*LYON*14*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*14*_*_*_;Sathonay-Village Mairie;Parking de la Mairie, Sathonay-Village;69293;4.878329;45.832194;4;FR*GLY*E*LYON*14*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*16*_*_*_;Saint-Genis-Laval Avenue Ernest Auboyer;18 Avenue Ernest Auboyer, Saint-Genis-Laval;69204;4.803939;45.692093;4;FR*GLY*E*LYON*16*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*16*_*_*_;Saint-Genis-Laval Avenue Ernest Auboyer;18 Avenue Ernest Auboyer, Saint-Genis-Laval;69204;4.803939;45.692093;4;FR*GLY*E*LYON*16*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*9*_*_*_;Tassin-la-Demi-Lune Atrium - Avenue des Cosmos;Avenue des Cosmos, Tassin-la-Demi-Lune;69244;4.770547;45.760144;4;FR*GLY*E*LYON*9*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*9*_*_*_;Tassin-la-Demi-Lune Atrium - Avenue des Cosmos;Avenue des Cosmos, Tassin-la-Demi-Lune;69244;4.770547;45.760144;4;FR*GLY*E*LYON*9*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*22*_*_*_;Vénissieux Avenue Viviani;4 Avenue Viviani, Vénissieux;69259;4.863299;45.726635;4;FR*GLY*E*LYON*22*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*22*_*_*_;Vénissieux Avenue Viviani;4 Avenue Viviani, Vénissieux;69259;4.863299;45.726635;4;FR*GLY*E*LYON*22*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*12*_*_*_;Vénissieux Marcel Houël - Hôtel de Ville;3 Avenue Marcel Houël, Vénissieux;69259;4.884666;45.696632;4;FR*GLY*E*LYON*12*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*12*_*_*_;Vénissieux Marcel Houël - Hôtel de Ville;3 Avenue Marcel Houël, Vénissieux;69259;4.884666;45.696632;4;FR*GLY*E*LYON*12*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*19*_*_*_;Vénissieux Jacques Duclos - Stade Laurent Guérin;24 Avenue Jacques Duclos, Vénissieux;69259;4.891770;45.697485;4;FR*GLY*E*LYON*19*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*19*_*_*_;Vénissieux Jacques Duclos - Stade Laurent Guérin;24 Avenue Jacques Duclos, Vénissieux;69259;4.891770;45.697485;4;FR*GLY*E*LYON*19*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*24*_*_*_;Lyon Joliot Curie - Les Battières;96 Rue Joliot Curie, Lyon;69123;4.782994;45.754439;4;FR*GLY*E*LYON*24*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*24*_*_*_;Lyon Joliot Curie - Les Battières;96 Rue Joliot Curie, Lyon;69123;4.782994;45.754439;4;FR*GLY*E*LYON*24*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*25*_*_*_;Lyon Avenue Paul Santy;91 Avenue Paul Santy, Lyon;69123;4.876832;45.728930;4;FR*GLY*E*LYON*25*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*25*_*_*_;Lyon Avenue Paul Santy;91 Avenue Paul Santy, Lyon;69123;4.876832;45.728930;4;FR*GLY*E*LYON*25*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*26*_*_*_;Saint-Genis-les-Ollières Avenue Marcel Mérieux;42 Avenue Marcel Mérieux, Saint-Genis-les-Ollières;69205;4.722615;45.758426;4;FR*GLY*E*LYON*26*1*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*26*_*_*_;Saint-Genis-les-Ollières Avenue Marcel Mérieux;42 Avenue Marcel Mérieux, Saint-Genis-les-Ollières;69205;4.722615;45.758426;4;FR*GLY*E*LYON*26*2*1*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*3*_*_*_;Bron Avenue Pierre Brossolette;Face au 81 Avenue Pierre Brossolette, Bron;69029;4.919721;45.742366;4;FR*GLY*E*LYON*3*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*3*_*_*_;Bron Avenue Pierre Brossolette;Face au 81 Avenue Pierre Brossolette, Bron;69029;4.919721;45.742366;4;FR*GLY*E*LYON*3*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*1*_*_*_;Collonges-au-Mont-d'Or Avenue César Paulet;Face au 8 Avenue César Paulet, Collonges-au-Mont-d'Or;69063;4.842099;45.817736;4;FR*GLY*E*LYON*1*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*1*_*_*_;Collonges-au-Mont-d'Or Avenue César Paulet;Face au 8 Avenue César Paulet, Collonges-au-Mont-d'Or;69063;4.842099;45.817736;4;FR*GLY*E*LYON*1*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*2*_*_*_;Craponne Parking Curtil;Parking Curtil, Craponne;69069;4.725522;45.746018;4;FR*GLY*E*LYON*2*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*2*_*_*_;Craponne Parking Curtil;Parking Curtil, Craponne;69069;4.725522;45.746018;4;FR*GLY*E*LYON*2*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*6*_*_*_;Corbas Rue des Frênes;Rue des Frênes, Corbas;69273;4.894663;45.664925;4;FR*GLY*E*LYON*6*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*6*_*_*_;Corbas Rue des Frênes;Rue des Frênes, Corbas;69273;4.894663;45.664925;4;FR*GLY*E*LYON*6*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*8*_*_*_;Décines-Charpieu Toboggan;Parking Nord du Toboggan, Décines-Charpieu;69275;4.955587;45.769151;4;FR*GLY*E*LYON*8*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*8*_*_*_;Décines-Charpieu Toboggan;Parking Nord du Toboggan, Décines-Charpieu;69275;4.955587;45.769151;4;FR*GLY*E*LYON*8*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*10*_*_*_;Ecully Rue Auguste Tramier;Rue Auguste Tramier, Ecully;69081;4.781649;45.774545;4;FR*GLY*E*LYON*10*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*10*_*_*_;Ecully Rue Auguste Tramier;Rue Auguste Tramier, Ecully;69081;4.781649;45.774545;4;FR*GLY*E*LYON*10*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*13*_*_*_;Grigny Avenue Jean Estragnat;Parking Avenue Jean Estragnat, Grigny;69096;4.789628;45.609585;4;FR*GLY*E*LYON*13*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*13*_*_*_;Grigny Avenue Jean Estragnat;Parking Avenue Jean Estragnat, Grigny;69096;4.789628;45.609585;4;FR*GLY*E*LYON*13*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*17*_*_*_;Meyzieu Rue Jean-Louis Barrault;Face au 17 Rue Jean-Louis Barrault, Meyzieu;69282;5.009728;45.767571;4;FR*GLY*E*LYON*17*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*17*_*_*_;Meyzieu Rue Jean-Louis Barrault;Face au 17 Rue Jean-Louis Barrault, Meyzieu;69282;5.009728;45.767571;4;FR*GLY*E*LYON*17*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*18*_*_*_;Mions La Halle du Marché;Face au 2 Rue du 19 mars 1962, Mions;69283;4.957743;45.664807;4;FR*GLY*E*LYON*18*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*18*_*_*_;Mions La Halle du Marché;Face au 2 Rue du 19 mars 1962, Mions;69283;4.957743;45.664807;4;FR*GLY*E*LYON*18*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*21*_*_*_;Quincieux Parking Route de Chasselay;Parking Route de Chasselay, Quincieux;69163;4.777065;45.913791;4;FR*GLY*E*LYON*21*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*21*_*_*_;Quincieux Parking Route de Chasselay;Parking Route de Chasselay, Quincieux;69163;4.777065;45.913791;4;FR*GLY*E*LYON*21*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*11*_*_*_;Sathonay-Camp Place du marché - Boulevard Castellane;Face au 35 Boulevard Castellane, Sathonay-Camp;69292;4.872508;45.822366;4;FR*GLY*E*LYON*11*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*11*_*_*_;Sathonay-Camp Place du marché - Boulevard Castellane;Face au 35 Boulevard Castellane, Sathonay-Camp;69292;4.872508;45.822366;4;FR*GLY*E*LYON*11*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*14*_*_*_;Sathonay-Village Mairie;Parking de la Mairie, Sathonay-Village;69293;4.878329;45.832194;4;FR*GLY*E*LYON*14*1*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
IZIVIA;IZIVIA;IZIVIA Grand Lyon;FR*GLY*P*LYON*14*_*_*_;Sathonay-Village Mairie;Parking de la Mairie, Sathonay-Village;69293;4.878329;45.832194;4;FR*GLY*E*LYON*14*2*2*_;7;E/F-T2;payant;24h/24;badge, appli et QR code;2020/06/23
