n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13005*001;AUBAGNE - Avenue Des Surs Gastine;Avenue Des Surs Gastine 0 AUBAGNE;13005;5,56348;43,29134;0;FR*M13*E13005*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13030*001;CUGES-LES-PINS - Chemin Du Cimetière;Chemin Du Cimetière 0 CUGES-LES-PINS;13030;5,700573;43,274927;0;FR*M13*E13030*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13030*001;CUGES-LES-PINS - Chemin Du Cimetière;Chemin Du Cimetière 0 CUGES-LES-PINS;13030;5,700573;43,274927;0;FR*M13*E13030*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13005*002;AUBAGNE - 22 Avenue De Verdun;22 Avenue De Verdun 0 AUBAGNE;13005;5,57308;43,288849;0;FR*M13*E13005*002*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13005*002;AUBAGNE - 22 Avenue De Verdun;22 Avenue De Verdun 0 AUBAGNE;13005;5,57308;43,288849;0;FR*M13*E13005*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13205*003;MARSEILLE-5E - Rue George;Rue George 13005 MARSEILLE-5E;13205;5,39792;43,295949;2;FR*M13*E13205*003*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13205*003;MARSEILLE-5E - Rue George;Rue George 13005 MARSEILLE-5E;13205;5,39792;43,295949;2;FR*M13*E13205*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13212*003;MARSEILLE-12E - 3 Avenue Des Trois Lucs;3 Avenue Des Trois Lucs 0 MARSEILLE-12E;13212;5,464186;43,312781;0;FR*M13*E13212*003*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13212*003;MARSEILLE-12E - 3 Avenue Des Trois Lucs;3 Avenue Des Trois Lucs 0 MARSEILLE-12E;13212;5,464186;43,312781;0;FR*M13*E13212*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13109*001;LE THOLONET - 664 Avenue Paul Julien;664 Avenue Paul Julien 0 LE THOLONET;13109;5,487714;43,510783;0;FR*M13*E13109*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13109*001;LE THOLONET - 664 Avenue Paul Julien;664 Avenue Paul Julien 0 LE THOLONET;13109;5,487714;43,510783;0;FR*M13*E13109*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13047*016;ISTRES - Complexe Sportif Davini;Complexe Sportif Davini 13800 ISTRES;13047;4,992584;43,476179;2;FR*M13*E13047*016*2;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13047*016;ISTRES - Complexe Sportif Davini;Complexe Sportif Davini 13800 ISTRES;13047;4,992584;43,476179;2;FR*M13*E13047*016*1;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13205*005;MARSEILLE-5E - Boulevard Jean Moulin (Jarret);Boulevard Jean Moulin (Jarret) 13005 MARSEILLE-5E;13205;5,400273;43,289235;2;FR*M13*E13205*005*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13205*005;MARSEILLE-5E - Boulevard Jean Moulin (Jarret);Boulevard Jean Moulin (Jarret) 13005 MARSEILLE-5E;13205;5,400273;43,289235;2;FR*M13*E13205*005*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13215*003;MARSEILLE-15E - 35 Boulevard Bernabo;35 Boulevard Bernabo 0 MARSEILLE-15E;13215;5,357061;43,338506;0;FR*M13*E13215*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13215*003;MARSEILLE-15E - 35 Boulevard Bernabo;35 Boulevard Bernabo 0 MARSEILLE-15E;13215;5,357061;43,338506;0;FR*M13*E13215*003*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
